Description	ID	tita	tlon	tcan	tusa	dmag	dpul	afra	ocin	tcas	lart	lubb	lapu	lcou	etex
NA	OG0000111	2	2	1	1	6	11	3	3	2	5	5	5	9	20
NA	OG0000112	4	2	5	4	11	7	4	2	8	3	3	3	4	15
NA	OG0000113	3	3	3	3	8	8	5	16	4	3	3	3	3	10
NA	OG0000114	5	3	3	4	4	6	15	10	8	3	3	3	4	4
NA	OG0000115	2	4	3	3	4	6	6	5	20	4	2	2	4	10
NA	OG0000116	7	3	7	6	7	10	1	1	9	5	4	4	5	5
NA	OG0000117	0	1	1	1	1	5	7	3	39	3	1	1	3	8
NA	OG0000118	7	1	4	3	8	7	3	14	6	4	5	3	3	6
NA	OG0000119	3	2	3	3	8	10	6	15	6	2	4	4	3	5
NA	OG0000120	4	3	4	3	5	6	5	9	16	4	3	4	3	5
NA	OG0000121	7	5	8	8	5	6	0	4	6	4	5	2	4	10
NA	OG0000122	4	3	4	4	11	20	4	3	1	4	4	4	4	3
NA	OG0000123	2	1	2	2	11	22	7	12	1	2	2	3	3	3
NA	OG0000124	10	0	1	1	0	0	0	0	3	16	18	4	7	13
NA	OG0000125	0	2	1	2	15	12	0	0	4	4	0	17	4	11
NA	OG0000126	4	2	3	3	2	4	5	4	22	2	2	2	2	14
NA	OG0000127	6	4	6	5	8	6	2	3	5	6	3	3	6	8
NA	OG0000128	5	3	6	6	4	4	1	13	8	4	4	5	5	3
NA	OG0000131	0	0	0	12	9	11	0	0	0	3	6	5	4	21
NA	OG0000133	5	11	19	16	0	0	0	0	0	4	5	3	6	2
NA	OG0000134	0	0	0	0	9	26	0	0	0	9	8	7	3	8
NA	OG0000135	5	0	3	4	28	13	0	0	0	1	4	8	4	0
NA	OG0000136	22	0	8	6	0	1	1	2	0	2	4	11	6	6
NA	OG0000137	1	1	2	1	1	1	1	47	2	1	1	2	1	6
NA	OG0000138	0	0	0	0	17	31	0	7	0	0	0	0	0	13
NA	OG0000139	12	5	10	12	0	0	0	1	1	8	4	8	7	0
NA	OG0000140	4	3	4	4	5	7	7	3	8	3	4	3	3	9
NA	OG0000141	4	5	0	0	12	32	0	2	0	2	3	5	2	0
NA	OG0000142	0	0	0	0	45	9	0	11	2	0	0	0	0	0
NA	OG0000143	3	3	2	3	6	6	11	17	2	2	3	2	2	4
NA	OG0000144	4	4	4	4	5	5	12	4	4	5	4	4	4	3
NA	OG0000145	4	9	4	3	0	0	0	0	0	8	15	14	9	0
NA	OG0000146	4	2	2	2	13	15	7	2	2	2	2	2	2	8
NA	OG0000147	3	3	4	4	3	3	4	5	14	4	4	3	3	8
NA	OG0000148	5	4	4	4	7	11	4	2	3	2	2	2	2	13
NA	OG0000149	14	0	12	9	0	0	0	1	0	10	9	8	2	0
NA	OG0000150	6	4	4	4	6	11	1	4	2	3	4	3	3	9
NA	OG0000151	3	2	4	4	7	16	3	7	2	1	2	2	3	8
NA	OG0000152	7	2	6	6	6	7	4	1	9	2	1	1	2	10
NA	OG0000153	2	1	2	3	2	2	2	4	34	4	1	0	4	3
NA	OG0000154	6	0	5	1	30	13	0	0	0	4	2	1	2	0
NA	OG0000155	9	0	7	8	1	0	0	3	4	0	5	4	0	23
NA	OG0000158	5	4	5	4	6	7	1	2	7	3	4	4	4	7
NA	OG0000159	5	5	16	15	0	0	0	0	0	1	3	4	3	11
NA	OG0000160	2	1	3	2	2	2	4	1	29	1	1	1	2	11
NA	OG0000161	8	1	2	13	4	9	0	0	0	7	11	2	4	1
NA	OG0000163	4	3	4	3	7	7	7	2	6	3	3	3	3	6
NA	OG0000164	10	6	5	5	1	1	0	3	1	3	10	8	6	2
NA	OG0000165	2	0	0	0	19	16	0	16	1	2	0	0	5	0
NA	OG0000167	20	0	22	0	1	0	0	0	0	3	5	6	4	0
NA	OG0000168	2	2	4	3	2	3	2	3	15	2	2	3	3	14
NA	OG0000169	4	3	7	6	5	4	6	4	2	2	6	2	6	3
NA	OG0000170	5	0	7	0	9	2	0	7	0	6	10	11	3	0
NA	OG0000171	5	3	1	4	6	3	0	12	3	2	0	4	3	14
NA	OG0000172	24	0	18	1	0	0	0	0	0	3	7	6	0	1
NA	OG0000174	7	5	9	8	1	2	1	0	4	3	5	5	6	3
NA	OG0000175	2	2	2	2	9	13	3	7	4	1	1	1	1	11
NA	OG0000176	3	3	3	2	6	6	12	2	5	3	3	4	3	4
NA	OG0000177	3	2	4	3	6	6	9	3	4	2	4	3	8	2
NA	OG0000178	5	5	6	6	2	4	2	0	3	6	4	6	7	3
NA	OG0000179	1	1	1	1	8	15	2	10	9	1	0	1	2	7
NA	OG0000180	3	0	0	0	9	28	0	0	1	6	2	2	4	4
NA	OG0000181	8	6	7	6	3	7	0	0	0	1	4	9	5	3
NA	OG0000183	2	2	3	2	6	5	5	3	12	2	3	2	2	9
NA	OG0000184	5	4	5	4	5	4	1	4	3	4	4	5	5	5
NA	OG0000185	2	2	3	3	3	2	4	3	17	2	4	3	4	6
NA	OG0000186	0	0	0	0	3	54	0	0	0	0	1	0	0	0
NA	OG0000187	0	0	0	0	55	3	0	0	0	0	0	0	0	0
